Image TSC_3_07; scale=1.5947265625e-07; signal=inlens
n°cupule; surface(m**2); fermeture_cupule(boolean); diametre_equivalent(m); grand_axe(m); petit_axe(m)
80; 3.278123970985413e-11; True; 7.297977201674688e-06; 1.004982390999794e-05; 4.42881549820304e-06
81; 2.5584117259979253e-11; True; 6.380467829252725e-06; 8.226915740594269e-06; 4.308943336457014e-06
82; 1.0215844834327699e-10; False; 1.8762833601781265e-05; 1.556634385958314e-05; 1.2323598942160607e-05
83; 2.3371574316024783e-11; True; 6.063551827034581e-06; 8.91168138869107e-06; 3.892043740674853e-06
84; 2.1489641237258914e-11; True; 5.753488999047039e-06; 6.4973999135196215e-06; 4.675026474893093e-06
85; 3.382393236160279e-11; True; 1.0037825498929303e-05; 1.2629031808674337e-05; 5.5018303658813246e-06
86; 3.234890373229981e-11; False; 7.946273681407621e-06; 8.006374882906675e-06; 6.128518411517144e-06
87; 4.3233597755432134e-11; True; 8.133777908000858e-06; 9.515082182735206e-06; 6.396945961564779e-06
88; 4.117364398002625e-11; True; 7.840218305077633e-06; 9.125782968476415e-06; 5.954677983373404e-06
89; 3.7511503934860235e-11; True; 8.530768295276225e-06; 1.1019862040132284e-05; 4.771771074272693e-06
90; 1.9073646068573e-11; True; 5.980995880379082e-06; 9.298782062530519e-06; 2.9045410843566062e-06
91; 2.133705206871033e-11; True; 5.7626622551790914e-06; 8.425007030740381e-06; 3.6429909041151407e-06
92; 3.4764898900985727e-11; True; 7.472222964877931e-06; 7.8073546577245e-06; 7.068200988695026e-06
93; 2.469401377677918e-11; True; 6.051943925823399e-06; 6.278216262161732e-06; 5.358973905816675e-06
94; 6.589308928489686e-11; False; 1.3531009481899979e-05; 1.3389863061904907e-05; 8.320137139409781e-06
95; 2.2990101394653324e-11; True; 5.941171627065662e-06; 6.317263167351485e-06; 5.416757680103183e-06
96; 4.595477126121522e-11; True; 8.14616208750632e-06; 8.955094957724214e-06; 6.714918538555504e-06
97; 2.1794819574356083e-11; False; 7.535900240679108e-06; 7.709724619612098e-06; 7.213316214829684e-06
98; 3.100103274345398e-11; False; 7.342852060507381e-06; 1.100451849102974e-05; 5.112764754146338e-06
99; 3.6977441844940194e-11; True; 7.68923017309241e-06; 9.977189950272442e-06; 6.215796329453588e-06
100; 1.097879067707062e-10; False; 1.4805868233207168e-05; 1.5919743110984566e-05; 1.152191644757986e-05
101; 7.0979394903183e-11; True; 1.0238254283174157e-05; 1.192957110181451e-05; 8.144156571477653e-06
102; 1.9556845102310182e-11; True; 5.785387445975788e-06; 9.176767935976387e-06; 3.0549336591735486e-06
103; 4.430172193527222e-11; True; 8.085452976558145e-06; 9.172886727377773e-06; 6.504070968925953e-06
104; 8.636546939849855e-11; True; 1.1397850971155746e-05; 1.2085276917368175e-05; 1.0436498137563469e-05
105; 1.5492886913299564e-10; True; 2.5056201694665122e-05; 2.2449608908593656e-05; 9.841243014857174e-06
106; 5.444890164375306e-11; True; 9.662992672247475e-06; 1.3298486758023501e-05; 5.905395759269596e-06
107; 1.5770090569496156e-10; True; 1.544709194961245e-05; 1.6042857724428178e-05; 1.3891496498137713e-05
108; 6.970781849861146e-11; True; 1.0533398612791054e-05; 1.447071760594845e-05; 6.919581116363407e-06
109; 2.2227155551910404e-11; True; 6.090243699349505e-06; 8.372478096559645e-06; 3.971956791542471e-06
110; 2.1820251102447513e-11; True; 5.902238820879294e-06; 9.64028522707522e-06; 4.018314117379487e-06
111; 9.414751699447633e-11; True; 1.2694974164138868e-05; 1.6059965459257364e-05; 8.520368569344283e-06
112; 4.936259602546693e-11; False; 1.0617924646868106e-05; 1.3697996957600118e-05; 5.609460295364261e-06
113; 3.105189579963684e-11; True; 7.596685680728907e-06; 1.0817850607633591e-05; 4.272237019054592e-06
114; 2.886478438377381e-11; True; 7.064478054298454e-06; 1.0430386754870415e-05; 4.016571527719498e-06
115; 1.223256501197815e-10; True; 1.4000555510708742e-05; 1.609322705194354e-05; 1.0884575761854649e-05
116; 8.092312238693239e-11; True; 1.09935726759528e-05; 1.2914767845720053e-05; 8.76786253489554e-06
117; 3.356961708068848e-11; True; 7.954439777119002e-06; 1.032266679108143e-05; 4.550599976442754e-06
118; 4.1631411485672004e-11; True; 9.916446700975468e-06; 6.85522848777473e-06; 5.110681189969182e-06
119; 2.0268927888870243e-11; False; 6.36265531362922e-06; 5.967397762462497e-06; 5.309360136464238e-06
120; 1.9780642549514774e-10; True; 1.7428649518255152e-05; 2.1901769623160363e-05; 1.2490331526845694e-05
121; 3.4790330429077157e-11; True; 8.327679423035436e-06; 9.28707516938448e-06; 5.902652754634619e-06
122; 7.225097130775453e-11; True; 1.197170315689742e-05; 1.4105414359271527e-05; 7.3075012240558865e-06
123; 2.8000112428665166e-11; True; 7.711539950275891e-06; 1.3172160109877588e-05; 3.2840968225151304e-06
124; 1.2809860699653626e-10; True; 1.9419780805522284e-05; 1.8330827759951355e-05; 9.539047124981881e-06
125; 2.6423357686996466e-11; True; 6.145902360623312e-06; 7.04572222083807e-06; 5.0960281066596516e-06
126; 2.215086096763611e-11; True; 5.751368837040431e-06; 7.240277839452029e-06; 4.620910381898284e-06
127; 5.4296312475204476e-11; True; 9.089010219408646e-06; 1.0651531694084407e-05; 6.9614306434988984e-06
128; 4.3615070676803595e-11; True; 1.3342852886930236e-05; 1.2431879795342685e-05; 4.610446023009718e-06
129; 4.478492096900941e-11; True; 8.581207329594824e-06; 1.135686044767499e-05; 5.2102372322231534e-06
130; 2.1049675801277164e-10; True; 9.246442550238134e-06; 2.358199531771243e-06; 1.627418140694499e-06
131; 5.523727901458741e-11; False; 1.1836276381235797e-05; 1.394516181126237e-05; 6.012206254899502e-06
132; 1.0014935762405397e-10; True; 1.193607832264284e-05; 1.2120358663052321e-05; 1.1110451152175665e-05
133; 4.430172193527222e-11; True; 8.136214708695413e-06; 1.0268986877799035e-05; 5.652356775477529e-06
134; 2.426167779922486e-11; True; 6.081662196426384e-06; 7.502306870371104e-06; 4.226181733980775e-06
135; 2.700828283309937e-11; True; 7.193060841419342e-06; 1.0553646153211595e-05; 3.876104018464685e-06
136; 1.6009146933555605e-10; True; 1.5799002370150008e-05; 2.007682899013162e-05; 1.106763132289052e-05
137; 1.9760297327041628e-11; True; 5.472735337366884e-06; 7.277982138469816e-06; 3.705941613391042e-06
138; 2.6957419776916507e-11; True; 6.353477367441984e-06; 6.9952513005584485e-06; 5.202089735865593e-06
139; 3.369677472114564e-11; True; 7.106384999822179e-06; 9.13420665115118e-06; 4.973871628567576e-06
140; 1.0037824137687684e-10; True; 8.145600932742678e-06; 8.428941164910795e-06; 6.307903857901693e-06
141; 3.2425198316574103e-11; True; 7.30651516889972e-06; 9.779476439207792e-06; 5.648965280503035e-06
142; 1.1362806751251223e-10; True; 1.9286810923781773e-05; 1.3808965456485749e-05; 1.2703175059705974e-05
